Vib_acpe,Vib_axial,Vib_base
17.34314,0.6988525,14.63318
18.28003,0.6256104,15.67383
18.28308,0.5615234,13.54675
16.66565,0.4608154,9.951782
14.5874,0.3845215,7.669067
11.97205,0.2532959,5.142212
9.146118,0.09765625,2.655029
6.973267,-0.04272461,0.02441406
4.885864,-0.1922607,-0.4638672
2.957153,-0.3143311,-0.6317139
0.6561279,-0.4364014,-1.300049
-1.992798,-0.5340576,-2.401733
-4.974365,-0.5584717,-2.49939
-7.672119,-0.6225586,-3.582764
-10.58655,-0.5950928,-5.178833
-12.87231,-0.604248,-7.202148
-14.48669,-0.6011963,-8.999634
-15.3656,-0.5523682,-10.3241
-16.29333,-0.4943848,-12.01477
-16.9281,-0.4089355,-13.99536
-16.72363,-0.3234863,-13.16833
-16.44592,-0.27771,-12.10632
-15.15808,-0.2044678,-9.725952
-12.09412,-0.1281738,-7.022095
-8.48999,0,-3.887939
-3.787231,0.1647949,-0.2227783
0.6774902,0.4058838,2.334595
3.897095,0.5340576,3.55835
7.217407,0.6866455,6.570435
10.34851,0.7476807,9.979248
12.91809,0.7751465,12.61597
15.43579,0.7598877,14.08691
16.94336,0.7202148,14.34631
17.9657,0.6256104,14.78271
18.47229,0.579834,13.68103
17.01355,0.4760742,10.12268
15.13367,0.3723145,8.074951
12.78687,0.2746582,6.082153
9.814453,0.1220703,3.07312
7.501221,-0.01525879,0.5767822
5.529785,-0.1678467,-0.7598877
3.585815,-0.2868652,-1.443481
1.751709,-0.4119873,-1.635742
-1.022339,-0.5249023,-2.200317
-3.826904,-0.567627,-2.142334
-6.585693,-0.6195068,-2.938843
-9.356689,-0.6500244,-4.824829
-11.79504,-0.6134033,-6.277466
-13.68408,-0.6469727,-8.691406
-15.07874,-0.5859375,-10.42175
-15.73792,-0.5462646,-12.1582
-16.87927,-0.4669189,-13.09509
-16.48865,-0.3845215,-13.36365
-16.38184,-0.3265381,-12.64038
-15.26489,-0.2838135,-10.51331
-12.53357,-0.1739502,-7.522583
-9.213257,-0.04882813,-5.209351
-5.148315,0.1251221,-1.287842
0.1861572,0.3204346,1.672363
3.485107,0.4669189,3.494263
6.845093,0.6317139,6.332397
9.902954,0.7232666,9.262085
12.37488,0.7598877,11.34033
14.94446,0.7507324,13.21106
16.78467,0.7110596,14.12659
17.61169,0.6561279,14.38293
18.54858,0.5432129,14.12354
17.73682,0.4608154,11.2854
15.76233,0.3845215,9.011841
13.50708,0.27771,6.195068
10.37292,0.1159668,3.393555
8.035278,-0.0213623,1.119995
6.204224,-0.1312256,-0.4608154
4.031372,-0.27771,-0.9368896
2.487183,-0.3692627,-1.235962
-0.05187988,-0.479126,-2.090454
-2.868652,-0.5218506,-2.035522
-5.718994,-0.5462646,-2.130127
-8.660889,-0.6011963,-4.53186
-11.01379,-0.5767822,-5.886841
-13.04016,-0.5645752,-7.644653
-14.67285,-0.5554199,-9.9823
-15.49072,-0.4974365,-11.96594
-16.60156,-0.4760742,-13.35754
-16.70227,-0.3875732,-13.14392
-16.53137,-0.3265381,-12.77771
-16.14075,-0.2838135,-11.09924
-13.63831,-0.2197266,-8.462524
-10.43091,-0.112915,-5.599976
-6.515503,0.03356934,-1.852417
-1.446533,0.2746582,1.229858
2.46582,0.4211426,2.902222
5.801392,0.6164551,5.444336
9.164429,0.7171631,8.99353
11.4502,0.7843018,11.09924
14.13574,0.7843018,12.81128
16.37878,0.7507324,14.5752
17.49268,0.680542,15.40833
18.37769,0.5859375,15.42053
18.09692,0.4852295,12.27722
16.15295,0.4119873,9.542847
14.18457,0.3051758,7.104492
11.24268,0.2044678,4.53186
8.486938,0.03662109,2.590942
6.744385,-0.100708,0.7293701
4.721069,-0.2441406,-0.1831055
3.076172,-0.3448486,-0.2471924
0.9063721,-0.4058838,-1.394653
-1.852417,-0.491333,-2.029419
-4.53186,-0.5096436,-1.443481
-7.513428,-0.5401611,-2.844238
-10.28442,-0.5401611,-5.041504
-12.51831,-0.5645752,-6.817627
-14.23645,-0.5523682,-9.481812
-15.26489,-0.50354,-11.00159
-16.31775,-0.4608154,-12.15515
-16.83044,-0.3997803,-13.26904
-16.81824,-0.3356934,-13.35144
-16.53137,-0.2990723,-12.09106
-14.92004,-0.2288818,-9.506226
-11.70044,-0.1556396,-6.863403
-7.919312,-0.01220703,-3.485107
-2.865601,0.1739502,0.3936768
1.535034,0.4089355,3.164673
4.84314,0.5645752,4.86145
7.955933,0.7263184,7.644653
10.94971,0.7904053,10.51331
13.40637,0.8453369,12.52441
15.66162,0.7904053,14.02283
17.1875,0.7232666,14.26086
18.14575,0.6011963,15.13977
18.32886,0.5126953,13.94043
16.69312,0.4302979,10.66589
14.86206,0.2990723,8.343506
12.45117,0.2075195,5.490112
9.390259,0.05187988,2.481079
7.485962,-0.05493164,0.4516602
5.654907,-0.1861572,-0.3326416
3.83606,-0.3204346,-0.5950928
1.971436,-0.3875732,-0.692749
-0.8209229,-0.4577637,-1.843262
-3.518677,-0.4852295,-1.751709
-6.121826,-0.5310059,-3.170776
-9.164429,-0.5371094,-5.096436
-11.66687,-0.5340576,-6.439209
-13.58948,-0.5310059,-9.09729
-15.0177,-0.5218506,-11.05957
-15.96069,-0.50354,-12.52136
-16.80603,-0.4425049,-13.42468
-16.88843,-0.3967285,-13.6322
-16.61682,-0.3295898,-12.7594
-15.42358,-0.2929688,-10.56213
-12.86316,-0.1861572,-7.772827
-9.301758,-0.04882813,-5.026245
-4.574585,0.1251221,-1.211548
0.2441406,0.3356934,2.404785
3.970337,0.5462646,4.202271
6.945801,0.6958008,6.900024
10.10437,0.8087158,10.12268
12.60376,0.8514404,11.64551
15.0177,0.8270264,13.49182
16.66565,0.78125,14.30054
17.71545,0.668335,14.22729
18.3136,0.5371094,13.77563
17.24243,0.4699707,11.34644
15.43884,0.3326416,8.917236
13.0127,0.2471924,6.640625
9.973145,0.09765625,3.509521
7.858276,-0.04882813,1.025391
6.066895,-0.1800537,-0.604248
4.037476,-0.2929688,-0.7904053
2.468872,-0.3753662,-0.9368896
0.1159668,-0.4486084,-1.107788
-2.459717,-0.4943848,-0.4669189
-5.548096,-0.5157471,-1.156616
-8.450317,-0.5432129,-4.425049
-10.99548,-0.5340576,-5.737305
-13.1897,-0.5462646,-8.288574
-14.83765,-0.5218506,-10.74219
-15.70129,-0.5065918,-12.20398
-16.83044,-0.4638672,-13.24768
-16.91284,-0.4425049,-13.47351
-16.94031,-0.3845215,-12.56104
-16.20483,-0.3601074,-11.39221
-13.8092,-0.2838135,-8.81958
-10.48889,-0.1678467,-5.587769
-6.121826,0.01525879,-1.361084
-1.116943,0.2410889,1.678467
2.789307,0.4333496,3.704834
6.118774,0.6164551,5.630493
9.417725,0.7751465,9.140015
11.93542,0.8483887,11.24573
14.42566,0.8331299,12.77161
16.33301,0.7843018,14.19373
17.39502,0.6835938,15.06653
17.99622,0.579834,14.83459
17.38892,0.4821777,11.83777
15.8905,0.3479004,9.16748
13.69934,0.2716064,6.204224
10.37292,0.1586914,3.671265
8.123779,0,1.699829
6.130981,-0.1434326,-0.04577637
4.23584,-0.2838135,-0.668335
2.832031,-0.3509521,-0.5737305
0.5889893,-0.4516602,-1.385498
-1.919556,-0.4852295,-1.913452
-4.702759,-0.4882813,-1.882935
-7.888794,-0.5157471,-3.396606
-10.42175,-0.5310059,-4.772949
-12.87537,-0.5218506,-6.912231
-14.57825,-0.5340576,-9.884644
-15.59753,-0.4882813,-11.54175
-16.79382,-0.4699707,-13.21106
-17.34924,-0.3875732,-14.17542
-17.31873,-0.3570557,-14.04724
-17.10815,-0.2990723,-12.08801
-15.20386,-0.2380371,-9.341431
-12.12463,-0.1403809,-6.332397
-7.751465,-0.01525879,-3.05481
-2.923584,0.1983643,0.7080078
1.486206,0.4425049,3.530884
4.650879,0.604248,5.090332
8.047485,0.7598877,7.681274
10.90088,0.8575439,10.72083
13.55591,0.8758545,12.61902
15.63721,0.8361816,13.78784
17.07153,0.7781982,14.09607
17.92297,0.6622314,14.6759
17.75208,0.5767822,13.66272
16.28723,0.4547119,10.46143
14.16321,0.3387451,7.302856
11.33423,0.213623,4.373169
8.630371,0.0579834,1.821899
6.607056,-0.06408691,-0.1983643
4.724121,-0.2044678,-0.3601074
3.106689,-0.3326416,-0.5249023
1.177979,-0.402832,-1.004028
-1.333618,-0.4669189,-1.254272
-3.985596,-0.4852295,-1.663208
-6.799316,-0.5218506,-3.19519
-9.466553,-0.5157471,-4.84314
-12.03003,-0.5218506,-6.741333
-13.9679,-0.5310059,-8.97522
-15.16418,-0.5157471,-10.80933
-16.1499,-0.4669189,-12.19482
-17.00439,-0.4333496,-13.40637
-17.11426,-0.3814697,-13.8031
-16.745,-0.3601074,-13.15308
-15.46631,-0.3082275,-10.61096
-12.71057,-0.2227783,-7.662964
-8.911133,-0.05493164,-4.089355
-4.275513,0.1068115,-0.3234863
0.6439209,0.3601074,2.770996
4.312134,0.5249023,4.171753
7.263184,0.7110596,7.080078
10.64453,0.8087158,9.872437
13.11951,0.8605957,11.97815
15.23132,0.8422852,13.77258
16.87317,0.8148193,14.77356
17.73987,0.7049561,14.02893
18.00232,0.5737305,13.33923
17.14478,0.4760742,10.78186
14.94446,0.3570557,7.998657
12.4054,0.2746582,5.923462
9.622192,0.100708,3.201294
7.244873,-0.04577637,0.3540039
5.462646,-0.1739502,-0.6011963
3.549194,-0.3082275,-1.141357
1.681519,-0.3967285,-1.333618
-0.6744385,-0.4730225,-1.602173
-3.305054,-0.4974365,-0.9643555
-6.039429,-0.5065918,-1.63269
-8.685303,-0.5340576,-3.771973
-11.15723,-0.5157471,-5.587769
-13.04932,-0.5218506,-7.992554
-14.74304,-0.4852295,-10.25085
-15.69214,-0.4486084,-12.38708
-16.69312,-0.4058838,-13.03406
-16.88538,-0.3570557,-13.3667
-16.76331,-0.2838135,-12.36267
-15.88745,-0.2990723,-11.09009
-13.57422,-0.2227783,-8.474731
-9.869385,-0.100708,-5.447388
-6.02417,0.05493164,-1.565552
-0.9368896,0.2807617,1.797485
2.91748,0.4608154,3.69873
6.210327,0.6347656,6.317139
9.7229,0.7537842,9.683228
12.25281,0.8300781,10.96497
14.48669,0.8575439,12.53662
16.63513,0.8056641,14.28833
17.52014,0.7293701,15.29541
18.03894,0.6439209,14.98108
17.46216,0.5310059,12.08191
15.68909,0.3997803,8.64563
13.37585,0.2990723,5.892944
10.37598,0.189209,3.140259
7.846069,0.01525879,0.9246826
6.008911,-0.1617432,-0.1403809
4.022217,-0.3082275,-0.2380371
2.276611,-0.3814697,-0.869751
0.1373291,-0.479126,-0.9613037
-2.322388,-0.5432129,-1.376343
-5.014038,-0.5157471,-1.547241
-7.888794,-0.5432129,-3.186035
-10.57434,-0.5432129,-4.794312
-12.68311,-0.5310059,-6.97937
-14.47754,-0.5218506,-9.634399
-15.34424,-0.4760742,-11.10229
-16.33911,-0.4302979,-12.80823
-16.97388,-0.3753662,-14.12048
-16.77551,-0.3326416,-13.6322
-16.39099,-0.3082275,-12.07275
-14.60571,-0.2410889,-9.49707
-11.26709,-0.1373291,-6.082153
-7.461548,-0.03967285,-2.648926
-2.359009,0.201416,0.7629395
1.828003,0.3814697,3.085327
4.983521,0.5310059,4.721069
8.499146,0.6958008,7.675171
11.28845,0.7659912,10.66589
13.77563,0.8239746,12.52441
16.05225,0.7720947,13.73596
17.38892,0.6988525,13.83972
18.12439,0.6256104,14.68201
17.92603,0.4974365,12.95471
16.16821,0.4241943,10.07385
14.1571,0.3051758,7.394409
11.39221,0.1647949,4.086304
8.694458,0.02746582,1.522827
6.726074,-0.09765625,-0.08850098
4.595947,-0.27771,-0.8758545
2.941895,-0.3997803,-0.8880615
0.982666,-0.5004883,-1.046753
-1.721191,-0.5554199,-1.437378
-4.086304,-0.5554199,-1.763916
-6.759644,-0.5615234,-2.883911
-9.429932,-0.5584717,-4.782104
-11.8866,-0.5340576,-6.491089
-13.65662,-0.5371094,-9.228516
-14.7644,-0.4882813,-10.86731
-15.50598,-0.4547119,-11.80115
-16.51611,-0.3692627,-13.53149
-16.44287,-0.3234863,-13.40332
-16.15906,-0.2868652,-12.37183
-14.81628,-0.2838135,-10.29358
-11.83167,-0.177002,-6.942749
-8.621216,-0.07019043,-4.006958
-3.878784,0.100708,-0.5706787
0.7568359,0.3265381,2.581787
4.129028,0.4730225,4.623413
7.568359,0.6256104,7.434082
10.49194,0.7202148,10.46143
13.13477,0.7965088,12.12158
15.70435,0.7598877,13.55591
17.11121,0.7354736,14.65149
18.09082,0.668335,14.42566
18.43262,0.5584717,13.16223
17.15698,0.4669189,10.35156
15.17944,0.3692627,8.322144
12.77771,0.2563477,5.465698
9.75647,0.09765625,2.560425
7.781982,-0.0793457,0.5554199
5.587769,-0.2349854,-0.9124756
3.497314,-0.3570557,-1.321411
1.675415,-0.4364014,-1.290894
-0.7659912,-0.5401611,-1.635742
-3.225708,-0.5859375,-0.7965088
-5.706787,-0.5859375,-1.681519
-8.551025,-0.5889893,-4.226685
-10.84595,-0.5981445,-5.368042
-12.88757,-0.5615234,-7.647705
-14.53247,-0.5187988,-10.24475
-15.1825,-0.4669189,-11.64246
-16.35132,-0.4058838,-12.79907
-16.25366,-0.3509521,-13.03406
-16.0675,-0.2655029,-12.36267
-15.37781,-0.2655029,-11.06567
-12.70447,-0.189209,-8.062744
-9.487915,-0.100708,-4.934692
-5.410767,0.06103516,-1.504517
-0.7995605,0.2960205,1.657104
2.975464,0.3967285,3.424072
6.182861,0.5706787,6.045532
9.570313,0.6866455,9.27124
12.07886,0.7476807,11.3678
14.70642,0.7873535,13.17444
16.62292,0.7659912,14.30359
17.41638,0.7354736,14.99634
18.04504,0.6317139,14.54773
17.36755,0.5493164,11.2854
15.66162,0.4119873,8.267212
13.43689,0.3234863,5.6427
10.2417,0.1678467,3.115845
7.809448,-0.01220703,1.089478
5.926514,-0.177002,-0.3509521
3.555298,-0.3143311,-1.135254
1.968384,-0.4608154,-1.113892
-0.3570557,-0.5706787,-1.28479
-2.996826,-0.6256104,-1.589966
-5.279541,-0.6134033,-1.635742
-8.166504,-0.6256104,-3.555298
-10.65369,-0.592041,-4.522705
-12.46033,-0.5889893,-7.434082
-14.28528,-0.5310059,-9.140015
-15.04517,-0.4669189,-10.25391
-16.36963,-0.390625,-12.64954
-16.71753,-0.3356934,-13.36975
-16.31775,-0.2624512,-12.64648
-16.04309,-0.2288818,-11.79504
-14.08386,-0.1586914,-8.346558
-10.89172,-0.100708,-5.92041
-7.321167,0.01525879,-2.89917
-2.41394,0.201416,0.6225586
1.44043,0.3540039,3.411865
4.830933,0.50354,4.995728
8.206177,0.6225586,8.36792
11.1084,0.6958008,10.50415
13.83972,0.7324219,12.62817
16.2323,0.7324219,13.85803
17.31262,0.7080078,14.64844
18.20984,0.6378174,15.35339
17.94128,0.5859375,13.04016
16.27808,0.4943848,9.985352
14.34631,0.378418,6.555176
11.43799,0.2624512,3.186035
8.850098,0.0793457,1.382446
6.442261,-0.07324219,-0.6164551
4.092407,-0.2502441,-1.010132
2.359009,-0.3936768,-1.080322
0.1617432,-0.5187988,-1.513672
-2.377319,-0.6011963,-1.96228
-4.678345,-0.6134033,-1.803589
-7.366943,-0.6256104,-3.338623
-9.82666,-0.6134033,-4.559326
-12.02698,-0.6011963,-6.085205
-13.85193,-0.5584717,-8.773804
-14.64539,-0.4852295,-9.75647
-15.78674,-0.3967285,-11.82556
-16.48254,-0.3051758,-13.26599
-16.2384,-0.2166748,-13.23242
-16.1499,-0.1922607,-12.38708
-14.4104,-0.1861572,-9.58252
-11.75232,-0.08239746,-6.924438
-8.538818,0.006103516,-4.211426
-4.006958,0.1647949,-0.6835938
0.5584717,0.3265381,2.072144
3.970337,0.4669189,4.013062
7.391357,0.5889893,6.692505
10.27527,0.6958008,9.729004
13.26904,0.7537842,11.91101
15.67078,0.7659912,14.10828
17.30347,0.7659912,14.76746
18.28918,0.7110596,14.6759
18.36548,0.6408691,12.99744
16.90369,0.5645752,9.890747
15.15503,0.4547119,7.940674
12.29858,0.3356934,5.392456
9.588623,0.1251221,2.838135
7.260132,-0.04882813,0.2044678
4.742432,-0.1953125,-1.51062
2.920532,-0.3570557,-1.519775
0.7171631,-0.50354,-2.163696
-1.947021,-0.5889893,-2.502441
-4.141235,-0.6072998,-1.580811
-6.811523,-0.6317139,-2.62146
-8.981323,-0.6195068,-4.370117
-10.98328,-0.5767822,-5.859375
-13.06152,-0.5279541,-7.88269
-14.20288,-0.4699707,-9.597778
-15.14587,-0.3662109,-11.16943
-16.11633,-0.2929688,-12.4054
-15.65247,-0.201416,-12.53052
-15.70435,-0.1403809,-12.45728
-14.6698,-0.1159668,-10.51941
-12.18567,-0.07019043,-8.261108
-9.32312,0.01525879,-5.557251
-5.496216,0.1342773,-1.330566
-0.9094238,0.3082275,1.937866
2.761841,0.3936768,3.140259
6.027222,0.5340576,5.789185
9.338379,0.6072998,9.078979
12.17346,0.7019043,11.31897
15.0177,0.7171631,13.24463
16.80603,0.7385254,14.90784
17.90161,0.7232666,15.29541
18.36243,0.6774902,14.83154
17.59644,0.604248,11.23962
16.00647,0.5096436,7.949829
13.41858,0.4119873,5.596924
10.60486,0.2593994,3.29895
8.007813,0.0579834,0.8209229
5.484009,-0.1373291,-0.201416
3.356934,-0.3326416,-0.7293701
1.177979,-0.4669189,-1.644897
-1.296997,-0.5767822,-2.261353
-3.439331,-0.6347656,-1.522827
-6.152344,-0.6744385,-2.194214
-8.590698,-0.6561279,-3.35083
-10.88867,-0.6500244,-4.568481
-12.94861,-0.6134033,-7.064819
-14.13269,-0.5462646,-8.456421
-15.23743,-0.4364014,-10.40344
-16.19568,-0.3570557,-12.12158
-15.77759,-0.27771,-12.59155
-15.91492,-0.1739502,-11.8866
-15.29846,-0.1525879,-10.32104
-13.41858,-0.09155273,-8.453369
-10.67505,-0.04577637,-6.307983
-6.915283,0.0579834,-3.033447
-2.172852,0.2258301,0.4974365
1.73645,0.3143311,3.067017
5.038452,0.4699707,4.824829
8.374023,0.604248,8.114624
11.29761,0.6561279,11.06873
14.09607,0.7293701,13.08289
16.33911,0.7232666,14.07471
17.51099,0.6988525,15.16418
18.64319,0.6622314,15.18555
17.99622,0.6134033,12.47864
16.42456,0.5187988,9.783936
14.3219,0.4333496,6.771851
11.59058,0.2471924,4.019165
8.804321,0.07629395,1.635742
6.307983,-0.09765625,-0.2593994
3.890991,-0.302124,-1.150513
1.953125,-0.4608154,-1.678467
-0.4974365,-0.5737305,-1.84021
-2.734375,-0.6622314,-1.791382
-5.328369,-0.6866455,-1.821899
-7.736206,-0.680542,-3.637695
-9.951782,-0.6652832,-4.733276
-12.20398,-0.6317139,-6.283569
-13.63525,-0.5584717,-7.998657
-14.41345,-0.491333,-9.906006
-15.47852,-0.3753662,-11.65466
-15.60974,-0.2593994,-12.51526
-15.58228,-0.2044678,-12.62817
-15.28625,-0.1647949,-11.51428
-13.79089,-0.1434326,-9.292603
-11.15417,-0.0579834,-6.945801
-8.059692,0.02441406,-3.491211
-3.375244,0.1617432,-0.4058838
0.7537842,0.27771,1.989746
4.019165,0.3997803,3.604126
7.406616,0.5218506,6.787109
10.36377,0.592041,10.12878
13.44299,0.6561279,12.86926
16.17737,0.692749,14.52942
17.4469,0.668335,15.02991
18.60962,0.6744385,14.92615
18.41736,0.6286621,12.31689
17.00745,0.5645752,9.884644
15.34424,0.4882813,8.300781
12.38098,0.3356934,5.490112
9.683228,0.1403809,2.890015
7.052612,-0.04577637,-0.3570557
4.446411,-0.2716064,-1.446533
2.34375,-0.3936768,-1.773071
0.009155273,-0.5584717,-2.334595
-2.441406,-0.6561279,-2.230835
-4.898071,-0.6896973,-1.727295
-7.53479,-0.7141113,-2.957153
-9.75647,-0.7019043,-4.989624
-12.16431,-0.6591797,-5.831909
-13.797,-0.6195068,-7.873535
-14.84375,-0.5340576,-9.854126
-15.76843,-0.4364014,-11.38611
-16.11633,-0.3265381,-11.84692
-15.99426,-0.2349854,-12.71667
-16.03088,-0.1495361,-12.01782
-14.64539,-0.1464844,-10.30579
-12.17041,-0.07629395,-8.578491
-9.317017,0.02746582,-5.355835
-5.197144,0.1434326,-1.089478
-0.7049561,0.2990723,1.593018
2.688599,0.3936768,3.234863
6.344604,0.5279541,5.661011
9.518433,0.6286621,8.813477
12.49695,0.6774902,10.89172
15.06042,0.7171631,12.87842
16.745,0.7263184,14.39209
17.99011,0.6988525,15.76843
18.61572,0.6561279,14.40125
17.59338,0.5950928,10.84595
16.09802,0.5157471,8.148193
13.41553,0.390625,5.844116
10.28137,0.2258301,3.048706
7.580566,0.03967285,0.5401611
5.056763,-0.177002,-0.27771
2.844238,-0.3204346,-0.3540039
0.4608154,-0.4669189,-1.846313
-1.867676,-0.604248,-2.716064
-4.415894,-0.6530762,-2.456665
-7.037354,-0.692749,-3.237915
-9.341431,-0.6744385,-4.324341
-11.78284,-0.668335,-5.413818
-13.32092,-0.6225586,-7.049561
-14.43787,-0.5218506,-9.069824
-15.46631,-0.4394531,-10.72083
-16.01868,-0.3295898,-12.10632
-15.95154,-0.2166748,-12.86316
-16.00952,-0.1281738,-11.99036
-15.16113,-0.100708,-10.3241
-13.00964,-0.03051758,-8.59375
-10.14404,0.04577637,-5.606079
-6.17981,0.1281738,-2.001953
-1.599121,0.289917,1.095581
1.940918,0.378418,2.95105
5.34668,0.5065918,5.151367
8.670044,0.5767822,8.721924
11.48071,0.6256104,11.93848
14.54773,0.6652832,13.50098
16.4093,0.680542,14.82849
17.94434,0.6622314,15.49988
18.59436,0.6500244,14.92004
17.93213,0.5828857,12.0697
16.4856,0.5157471,9.588623
14.31274,0.3997803,7.046509
11.27625,0.2441406,4.159546
8.538818,0.07019043,1.760864
5.966187,-0.1098633,-0.1037598
3.744507,-0.2929688,-1.364136
1.641846,-0.4547119,-2.142334
-0.8300781,-0.5584717,-2.349854
-3.408813,-0.6072998,-1.742554
-6.033325,-0.668335,-2.139282
-8.447266,-0.6744385,-3.735352
-10.9375,-0.668335,-4.922485
-12.89978,-0.6652832,-6.900024
-14.24255,-0.5828857,-9.176636
-15.08179,-0.5065918,-10.65674
-15.76538,-0.3814697,-11.71265
-15.99426,-0.2960205,-12.36877
-15.94849,-0.1983643,-12.13684
-15.25269,-0.1739502,-11.40442
-13.5437,-0.1037598,-9.207153
-10.8429,-0.003051758,-6.515503
-7.449341,0.1190186,-3.842163
-2.877808,0.2593994,-0.7141113
0.9674072,0.3814697,1.785278
4.364014,0.5157471,3.778076
7.739258,0.6317139,7.400513
10.62622,0.6530762,10.12268
13.66577,0.7385254,11.94763
15.91187,0.7141113,13.60168
17.17834,0.6958008,14.60571
18.44788,0.6530762,14.27612
18.10303,0.6164551,12.28638
16.88232,0.5401611,10.30579
14.95361,0.4425049,7.757568
11.97205,0.289917,4.727173
9.170532,0.1495361,2.185059
6.710815,-0.06408691,0.1373291
4.092407,-0.2258301,-0.3570557
1.919556,-0.3845215,-1.199341
-0.4425049,-0.5249023,-2.069092
-2.993774,-0.6164551,-2.322388
-5.545044,-0.6530762,-1.849365
-7.974243,-0.6774902,-4.162598
-10.40955,-0.6622314,-5.105591
-12.39624,-0.6500244,-6.079102
-14.06555,-0.5706787,-8.480835
-14.93225,-0.5004883,-10.19897
-15.73181,-0.3875732,-11.35864
-15.82031,-0.27771,-12.56714
-15.76233,-0.1678467,-12.26807
-15.45715,-0.1312256,-11.56311
-13.88855,-0.1068115,-9.790039
-11.42273,-0.006103516,-6.671143
-8.398438,0.08850098,-3.393555
-3.897095,0.2471924,-0.6958008
0.1434326,0.3631592,1.644897
3.805542,0.4730225,3.152466
7.449341,0.5767822,6.42395
10.16541,0.6378174,9.725952
13.04626,0.7110596,11.94153
15.50903,0.7202148,13.81531
17.12036,0.6958008,15.65247
18.56689,0.668335,15.85693
18.63098,0.6134033,13.22327
17.44385,0.5645752,10.17151
15.93323,0.4730225,8.258057
12.78076,0.3570557,5.780029
10.02502,0.2075195,3.302002
7.525635,0.003051758,0.7507324
4.974365,-0.1922607,-0.1403809
2.911377,-0.3051758,-1.068115
0.5706787,-0.4852295,-2.236938
-2.026367,-0.5737305,-2.890015
-4.248047,-0.6134033,-2.120972
-7.040405,-0.6713867,-3.012085
-9.539795,-0.6835938,-4.562378
-11.82251,-0.6561279,-5.377197
-13.77563,-0.6286621,-7.977295
-14.63013,-0.5493164,-9.402466
-15.33813,-0.4608154,-10.53162
-15.89661,-0.3295898,-12.08191
-15.56091,-0.2532959,-12.46033
-15.7135,-0.1617432,-11.51428
-14.61487,-0.1312256,-10.08606
-12.13684,-0.0213623,-7.800293
-9.341431,0.0579834,-5.059814
-5.0354,0.2044678,-1.559448
-0.6896973,0.390625,1.467896
2.676392,0.479126,2.871704
6.271362,0.604248,5.288696
9.054565,0.6744385,8.670044
12.04834,0.7293701,10.87952
14.56604,0.7049561,12.8479
16.41541,0.6988525,14.30664
17.88025,0.680542,15.17029
18.47534,0.6195068,14.42871
17.45911,0.5767822,11.77979
16.29333,0.5187988,9.359741
13.51929,0.3936768,6.289673
10.48889,0.2716064,3.646851
8.093262,0.08850098,1.333618
5.450439,-0.1068115,-0.0213623
3.372192,-0.2593994,-0.7476807
1.037598,-0.4089355,-1.596069
-1.672363,-0.5340576,-2.474976
-3.95813,-0.5828857,-2.706909
-6.799316,-0.6561279,-3.707886
-9.390259,-0.6225586,-5.041504
-11.6333,-0.6622314,-5.792236
-13.71155,-0.6469727,-7.74231
-14.64844,-0.5432129,-9.677124
-15.20386,-0.4669189,-10.51636
-16.07056,-0.3814697,-11.94153
-15.7196,-0.2716064,-12.78687
-15.67993,-0.2044678,-12.46948
-14.91394,-0.1617432,-10.36377
-12.69531,-0.07629395,-8.074951
-10.16235,0.03662109,-5.62439
-6.176758,0.1373291,-2.459717
-1.641846,0.289917,0.3692627
2.001953,0.3936768,2.893066
5.39856,0.5432129,5.184937
8.322144,0.592041,8.032227
11.24268,0.6469727,10.89172
14.08997,0.6652832,12.81433
15.91492,0.6591797,14.03198
17.45911,0.6378174,14.42261
18.39294,0.6286621,14.08386
18.03284,0.5584717,11.66077
16.95862,0.4943848,10.00061
14.73083,0.4180908,6.777954
11.70349,0.2655029,3.927612
9.268188,0.1251221,2.197266
6.57959,-0.04272461,-0.01831055
4.269409,-0.2044678,-1.245117
2.230835,-0.3509521,-1.705933
-0.3326416,-0.5157471,-2.526855
-2.593994,-0.579834,-2.090454
-5.502319,-0.6195068,-2.34375
-8.31604,-0.6500244,-4.18396
-10.55908,-0.668335,-5.39856
-13.0249,-0.6652832,-7.125854
-14.36462,-0.6072998,-9.481812
-14.90173,-0.5523682,-10.81238
-16.01257,-0.4547119,-11.7981
-15.70129,-0.3509521,-12.55493
-15.84167,-0.2563477,-12.13684
